customerid,churn,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges,no_phone_service,internetservice_none
0960-HUWBM,no,male,0,1,1,65,1,1,fiber_optic,0,0,1,1,1,1,two year,1,bank transfer (automatic),"{""monthly"": 104.1, ""total"": ""6700.05""}",0,0
0961-ZWLVI,no,male,0,0,1,49,1,1,fiber_optic,1,1,1,0,1,1,one year,1,credit card (automatic),"{""monthly"": 109.2, ""total"": ""5290.45""}",0,0
0962-CQPWQ,no,female,0,1,1,62,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),"{""monthly"": 20.3, ""total"": ""1296.15""}",0,1
0963-ZBDRN,yes,male,0,0,0,32,1,0,fiber_optic,0,0,0,1,1,1,month-to-month,1,electronic check,"{""monthly"": 96.2, ""total"": ""3183.4""}",0,0
0967-BMLBD,no,female,0,1,1,11,1,0,no,0,0,0,0,0,0,one year,1,mailed check,"{""monthly"": 20.0, ""total"": ""196.35""}",0,1
0968-FTNYZ,nan,female,0,0,1,13,1,0,dsl,1,1,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 56.0, ""total"": ""764.55""}",0,0
0968-GSIKN,yes,female,0,0,0,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,mailed check,"{""monthly"": 70.8, ""total"": ""70.8""}",0,0
0969-RGKCU,no,male,0,1,1,37,1,0,no,0,0,0,0,0,0,one year,0,credit card (automatic),"{""monthly"": 19.8, ""total"": ""677.05""}",0,1
0970-ETWGE,yes,male,0,0,0,1,1,0,fiber_optic,0,0,0,0,1,1,month-to-month,1,electronic check,"{""monthly"": 89.55, ""total"": ""89.55""}",0,0
0970-QXPXW,no,female,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 19.65, ""total"": ""19.65""}",0,1
0971-QIFJK,no,female,0,1,0,69,1,1,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),"{""monthly"": 24.25, ""total"": ""1641.8""}",0,1
0973-KYVNF,no,female,0,1,1,72,1,0,dsl,1,1,1,0,1,0,two year,1,credit card (automatic),"{""monthly"": 70.65, ""total"": ""5011.15""}",0,0
0975-UYDTX,no,female,0,1,0,26,1,1,dsl,1,1,1,1,1,1,one year,1,credit card (automatic),"{""monthly"": 90.1, ""total"": ""2312.55""}",0,0
0975-VOOVL,no,female,0,0,0,3,0,0,dsl,0,1,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 29.2, ""total"": ""98.5""}",1,0
0979-MOZQI,no,male,0,1,0,62,0,0,dsl,0,0,0,1,1,0,two year,1,bank transfer (automatic),"{""monthly"": 39.0, ""total"": ""2337.45""}",1,0
0979-PHULV,yes,male,0,1,1,69,1,1,fiber_optic,0,0,1,0,1,1,month-to-month,1,credit card (automatic),"{""monthly"": 99.45, ""total"": ""7007.6""}",0,0
0980-FEXWF,no,male,0,1,1,26,1,0,dsl,0,0,1,0,0,0,one year,0,mailed check,"{""monthly"": 50.35, ""total"": ""1285.8""}",0,0
0980-PVMRC,no,female,0,1,1,40,0,0,dsl,0,1,0,0,1,1,month-to-month,1,electronic check,"{""monthly"": 50.85, ""total"": ""2036.55""}",1,0
0983-TATYJ,no,female,0,1,0,33,1,0,dsl,0,0,0,1,0,0,one year,1,mailed check,"{""monthly"": 51.45, ""total"": ""1758.9""}",0,0
0988-AADSA,no,female,0,1,1,72,1,1,dsl,1,1,1,1,0,1,two year,0,bank transfer (automatic),"{""monthly"": 80.85, ""total"": ""5824.75""}",0,0
0988-JRWWP,no,female,0,0,0,3,1,0,dsl,0,0,0,0,1,0,month-to-month,1,electronic check,"{""monthly"": 54.2, ""total"": ""140.4""}",0,0
0991-BRRFB,yes,male,0,0,0,18,1,0,dsl,1,0,0,0,0,0,month-to-month,0,electronic check,"{""monthly"": 49.4, ""total"": ""874.8""}",0,0
0993-OSGPT,no,female,1,1,0,68,1,0,dsl,0,1,1,1,0,0,one year,1,bank transfer (automatic),"{""monthly"": 60.65, ""total"": ""3975.9""}",0,0
0997-YTLNY,no,female,0,0,1,19,1,0,dsl,0,0,0,1,0,0,month-to-month,0,mailed check,"{""monthly"": 48.8, ""total"": ""953.65""}",0,0
0999-QXNSA,no,male,1,0,1,7,1,0,dsl,0,0,0,0,0,0,month-to-month,1,mailed check,"{""monthly"": 45.75, ""total"": ""344.2""}",0,0
1000-AJSLD,yes,male,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,1,mailed check,"{""monthly"": 20.1, ""total"": ""20.1""}",0,1
1004-NOZNR,no,male,1,0,1,56,1,0,fiber_optic,1,0,0,0,1,1,one year,0,credit card (automatic),"{""monthly"": 94.8, ""total"": ""5264.3""}",0,0
1009-IRMNA,yes,female,0,0,0,7,1,0,no,0,0,0,0,0,0,month-to-month,0,bank transfer (automatic),"{""monthly"": 20.0, ""total"": ""137.6""}",0,1
1010-DIAUQ,yes,male,0,0,0,5,1,0,fiber_optic,0,0,1,0,1,1,month-to-month,0,bank transfer (automatic),"{""monthly"": 96.5, ""total"": ""492.55""}",0,0
1013-QCWAM,no,female,1,1,0,66,1,1,fiber_optic,0,1,0,0,1,1,month-to-month,1,electronic check,"{""monthly"": 100.8, ""total"": ""6690.75""}",0,0
1015-JPFYW,no,male,0,0,1,7,1,0,no,0,0,0,0,0,0,one year,0,mailed check,"{""monthly"": 19.45, ""total"": ""136.75""}",0,1
1015-OWJKI,no,male,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 19.05, ""total"": ""19.05""}",0,1
1016-DJTSV,no,male,1,0,0,8,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 69.7, ""total"": ""572.85""}",0,0
1017-FBQMM,no,female,0,1,1,62,1,1,fiber_optic,0,1,0,1,1,1,one year,1,credit card (automatic),"{""monthly"": 106.05, ""total"": ""6703.5""}",0,0
1020-JPQOW,no,female,0,1,0,56,1,1,fiber_optic,0,1,1,1,0,0,month-to-month,0,electronic check,"{""monthly"": 90.55, ""total"": ""5116.6""}",0,0
1022-RKXDR,no,female,0,0,0,41,1,1,no,0,0,0,0,0,0,one year,1,mailed check,"{""monthly"": 24.85, ""total"": ""962.25""}",0,1
1023-BQXZE,no,male,0,0,0,57,1,0,dsl,1,0,1,0,1,1,two year,1,bank transfer (automatic),"{""monthly"": 74.35, ""total"": ""4317.35""}",0,0
1024-GUALD,yes,female,0,1,0,1,0,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 24.8, ""total"": ""24.8""}",1,0
1024-KPRBB,no,female,0,0,0,38,1,0,fiber_optic,0,0,0,0,1,1,one year,1,mailed check,"{""monthly"": 89.1, ""total"": ""3342""}",0,0
1024-VRZHF,yes,male,0,1,0,11,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 74.95, ""total"": ""825.7""}",0,0
1025-FALIX,no,female,0,0,0,26,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,credit card (automatic),"{""monthly"": 69.05, ""total"": ""1815.65""}",0,0
1027-LKKQQ,no,female,0,1,1,72,1,0,dsl,1,0,1,1,1,1,two year,1,bank transfer (automatic),"{""monthly"": 80.45, ""total"": ""5886.85""}",0,0
1028-FFNJK,no,male,1,1,0,30,1,1,fiber_optic,0,0,0,1,1,1,month-to-month,1,electronic check,"{""monthly"": 101.5, ""total"": ""2917.65""}",0,0
1029-QFBEN,yes,male,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 19.55, ""total"": ""19.55""}",0,1
1031-IIDEO,yes,female,0,0,0,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 70.85, ""total"": ""70.85""}",0,0
1032-MAELW,no,female,0,1,1,68,1,1,dsl,1,1,1,1,0,1,one year,1,electronic check,"{""monthly"": 78.45, ""total"": ""5333.35""}",0,0
1035-IPQPU,no,female,1,1,0,63,1,1,fiber_optic,0,1,1,0,1,1,month-to-month,1,electronic check,"{""monthly"": 103.5, ""total"": ""6479.4""}",0,0
1036-GUDCL,no,male,0,1,1,60,1,0,dsl,1,1,0,1,1,1,month-to-month,1,credit card (automatic),"{""monthly"": 79.05, ""total"": ""4663.4""}",0,0
1038-RQOST,no,male,0,1,1,19,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 20.6, ""total"": ""414.95""}",0,1
1038-ZAGBI,yes,female,0,1,1,12,1,0,no,0,0,0,0,0,0,one year,0,bank transfer (automatic),"{""monthly"": 19.8, ""total"": ""229.6""}",0,1
1041-RXHRA,yes,female,0,0,0,41,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,0,bank transfer (automatic),"{""monthly"": 70.25, ""total"": ""2868.05""}",0,0
1042-HFUCW,no,female,0,0,1,25,1,0,dsl,0,1,0,1,0,0,one year,1,credit card (automatic),"{""monthly"": 54.75, ""total"": ""1266.35""}",0,0
1043-UXOVO,no,female,0,0,0,71,1,1,fiber_optic,1,1,1,1,1,1,two year,1,credit card (automatic),"{""monthly"": 113.15, ""total"": ""7993.3""}",0,0
1043-YCUTE,yes,male,0,1,0,56,1,1,no,0,0,0,0,0,0,two year,1,credit card (automatic),"{""monthly"": 25.15, ""total"": ""1327.15""}",0,1
1045-LTCYT,no,female,0,1,1,8,1,0,no,0,0,0,0,0,0,month-to-month,0,credit card (automatic),"{""monthly"": 21.05, ""total"": ""139.75""}",0,1
1047-NNCBF,no,male,0,0,0,20,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,0,credit card (automatic),"{""monthly"": 70.55, ""total"": ""1493.55""}",0,0
1047-RNXZV,no,male,0,0,0,43,1,0,no,0,0,0,0,0,0,two year,0,mailed check,"{""monthly"": 19.55, ""total"": ""876.15""}",0,1
1049-FYSYG,no,female,0,1,0,17,0,0,dsl,0,1,1,0,0,0,month-to-month,1,credit card (automatic),"{""monthly"": 35.65, ""total"": ""646.05""}",1,0
1051-EQPZR,no,female,0,1,1,44,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 19.6, ""total"": ""780.25""}",0,1
1051-GEJLJ,no,female,0,0,0,2,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 19.5, ""total"": ""27.55""}",0,1
1052-QJIBV,no,female,0,1,1,71,1,0,no,0,0,0,0,0,0,two year,0,credit card (automatic),"{""monthly"": 19.9, ""total"": ""1397.3""}",0,1
1053-MXTTK,no,female,0,1,1,72,1,0,fiber_optic,1,1,1,1,1,1,two year,1,bank transfer (automatic),"{""monthly"": 108.65, ""total"": ""7726.35""}",0,0
1057-FOGLZ,no,female,0,0,0,18,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 19.65, ""total"": ""391.7""}",0,1
1058-CIYUA,nan,female,1,1,0,52,1,1,fiber_optic,0,1,1,0,1,1,one year,1,electronic check,"{""monthly"": 106.5, ""total"": ""5621.85""}",0,0
1060-ENTOF,no,female,1,1,0,67,1,1,fiber_optic,1,1,1,1,0,1,one year,1,credit card (automatic),"{""monthly"": 105.4, ""total"": ""7035.6""}",0,0
1061-PNTHC,no,female,0,1,1,56,1,1,fiber_optic,1,0,1,1,1,1,month-to-month,1,mailed check,"{""monthly"": 109.6, ""total"": ""5953""}",0,0
1062-LHZOD,yes,male,0,1,1,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,mailed check,"{""monthly"": 69.9, ""total"": ""69.9""}",0,0
1063-DHQJF,no,male,0,1,1,69,1,0,fiber_optic,0,1,0,1,1,0,two year,1,mailed check,"{""monthly"": 92.15, ""total"": ""6480.9""}",0,0
1064-FBXNK,no,male,0,1,1,1,1,0,no,0,0,0,0,0,0,one year,0,credit card (automatic),"{""monthly"": 19.85, ""total"": ""19.85""}",0,1
1066-JKSGK,yes,male,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 20.15, ""total"": ""20.15""}",0,1
1069-QJOEE,no,male,0,1,1,25,1,0,no,0,0,0,0,0,0,one year,0,electronic check,"{""monthly"": 19.9, ""total"": ""505.45""}",0,1
1069-XAIEM,yes,female,1,0,0,1,1,1,fiber_optic,0,0,0,0,0,1,month-to-month,1,electronic check,"{""monthly"": 85.05, ""total"": ""85.05""}",0,0
1073-XXCZD,no,male,0,1,0,55,1,1,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),"{""monthly"": 25.7, ""total"": ""1443.65""}",0,1
1074-AMIOH,no,female,0,1,1,53,1,0,fiber_optic,0,1,1,1,1,1,month-to-month,1,bank transfer (automatic),"{""monthly"": 108.25, ""total"": ""5935.1""}",0,0
1074-WVEVG,no,female,0,1,0,59,1,0,no,0,0,0,0,0,0,one year,0,mailed check,"{""monthly"": 20.35, ""total"": ""1267""}",0,1
1075-BGWOH,yes,male,1,1,0,16,1,1,fiber_optic,0,0,1,0,1,1,month-to-month,1,electronic check,"{""monthly"": 98.75, ""total"": ""1587.55""}",0,0
1077-HUUJM,no,female,0,0,1,7,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 71.05, ""total"": ""472.65""}",0,0
1078-TDCRN,no,female,1,1,0,3,0,0,dsl,0,1,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 30.75, ""total"": ""82.85""}",1,0
1080-BWSYE,no,male,1,1,0,64,1,1,no,0,0,0,0,0,0,two year,0,credit card (automatic),"{""monthly"": 25.65, ""total"": ""1740.8""}",0,1
1084-MNSMJ,no,female,0,1,1,51,1,0,dsl,1,1,1,1,1,1,two year,0,credit card (automatic),"{""monthly"": 85.5, ""total"": ""4421.95""}",0,0
1084-UQCHV,yes,male,0,0,1,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,0,bank transfer (automatic),"{""monthly"": 69.75, ""total"": ""69.75""}",0,0
1085-LDWAM,no,female,0,1,1,69,1,0,no,0,0,0,0,0,0,one year,1,credit card (automatic),"{""monthly"": 20.35, ""total"": ""1442.65""}",0,1
1086-LXKFY,yes,female,0,1,1,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,mailed check,"{""monthly"": 69.1, ""total"": ""69.1""}",0,0
1087-GRUYI,no,male,0,1,0,38,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),"{""monthly"": 20.4, ""total"": ""743.5""}",0,1
1087-UDSIH,yes,female,0,0,0,3,1,0,no,0,0,0,0,0,0,month-to-month,1,mailed check,"{""monthly"": 19.6, ""total"": ""59.75""}",0,1
1088-AUUZZ,no,male,0,1,1,56,1,1,dsl,1,1,0,1,0,1,two year,1,credit card (automatic),"{""monthly"": 75.85, ""total"": ""4261.2""}",0,0
1088-CNNKB,no,male,0,1,0,63,1,1,dsl,1,1,1,1,0,1,one year,0,credit card (automatic),"{""monthly"": 80.0, ""total"": ""5040.2""}",0,0
1089-HDMKP,no,male,1,0,1,11,1,0,dsl,0,1,0,1,0,0,month-to-month,1,electronic check,"{""monthly"": 54.55, ""total"": ""601.25""}",0,0
1089-XZWHH,no,female,0,1,1,24,1,0,no,0,0,0,0,0,0,two year,1,mailed check,"{""monthly"": 19.7, ""total"": ""494.05""}",0,1
1090-ESELR,no,male,0,1,1,72,1,0,fiber_optic,1,1,0,1,1,1,two year,0,bank transfer (automatic),"{""monthly"": 105.5, ""total"": ""7611.55""}",0,0
1090-PYKCI,no,female,0,1,1,69,1,1,fiber_optic,1,1,1,1,1,0,one year,1,credit card (automatic),"{""monthly"": 105.1, ""total"": ""7234.8""}",0,0
1091-SOZGA,no,female,0,1,1,56,1,1,fiber_optic,0,0,1,0,1,1,one year,1,credit card (automatic),"{""monthly"": 99.8, ""total"": ""5515.45""}",0,0
1092-GANHU,yes,male,0,0,0,17,1,0,fiber_optic,0,0,1,0,0,0,month-to-month,1,electronic check,"{""monthly"": 76.65, ""total"": ""1313.55""}",0,0
1092-WPIVQ,no,female,0,1,1,18,1,1,no,0,0,0,0,0,0,two year,0,mailed check,"{""monthly"": 25.1, ""total"": ""428.45""}",0,1
1093-YSWCA,no,male,0,0,0,11,1,0,no,0,0,0,0,0,0,two year,0,credit card (automatic),"{""monthly"": 19.55, ""total"": ""223.15""}",0,1
1094-BKOSX,no,female,0,1,1,45,0,0,dsl,0,1,1,1,0,1,one year,0,bank transfer (automatic),"{""monthly"": 51.0, ""total"": ""2264.5""}",1,0
1095-JUDTC,yes,female,1,0,0,47,1,1,fiber_optic,0,1,0,1,1,0,month-to-month,1,electronic check,"{""monthly"": 95.05, ""total"": ""4504.55""}",0,0
1095-WGNGG,no,female,0,1,0,61,1,1,fiber_optic,0,1,0,0,1,1,two year,1,bank transfer (automatic),"{""monthly"": 101.05, ""total"": ""5971.25""}",0,0
1096-ADRUX,no,female,0,1,1,66,1,1,fiber_optic,0,0,0,0,0,0,one year,1,bank transfer (automatic),"{""monthly"": 74.25, ""total"": ""4859.25""}",0,0
1097-FSPVW,no,female,0,0,0,42,1,0,dsl,1,0,1,0,0,0,month-to-month,0,credit card (automatic),"{""monthly"": 54.55, ""total"": ""2455.05""}",0,0
1098-KFQEC,no,female,0,1,1,55,1,0,no,0,0,0,0,0,0,two year,0,credit card (automatic),"{""monthly"": 19.4, ""total"": ""1083""}",0,1
1098-TDVUQ,no,female,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,1,bank transfer (automatic),"{""monthly"": 19.25, ""total"": ""19.25""}",0,1
1099-BTKWT,no,female,0,1,0,68,0,0,dsl,1,0,1,0,1,1,one year,1,electronic check,"{""monthly"": 54.4, ""total"": ""3723.65""}",1,0
1099-GODLO,no,female,0,1,1,1,1,0,no,0,0,0,0,0,0,two year,0,mailed check,"{""monthly"": 20.35, ""total"": ""20.35""}",0,1
1100-DDVRV,no,male,0,1,0,17,0,0,dsl,0,1,0,0,1,1,month-to-month,1,mailed check,"{""monthly"": 49.8, ""total"": ""836.35""}",1,0
1101-SSWAG,no,female,0,1,0,15,1,1,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 51.1, ""total"": ""711.15""}",0,0
1104-FEJAM,no,male,0,1,1,28,1,1,dsl,0,1,0,0,0,1,month-to-month,0,electronic check,"{""monthly"": 64.4, ""total"": ""1802.15""}",0,0
1104-TNLZA,no,male,1,1,0,28,1,1,fiber_optic,0,1,0,1,1,1,month-to-month,1,electronic check,"{""monthly"": 105.8, ""total"": ""2998""}",0,0
1106-HRLKZ,no,male,0,1,1,40,1,0,no,0,0,0,0,0,0,two year,0,mailed check,"{""monthly"": 19.6, ""total"": ""808.95""}",0,1
1110-KYLGQ,no,female,0,0,0,63,1,1,fiber_optic,1,1,1,0,1,1,month-to-month,0,credit card (automatic),"{""monthly"": 108.25, ""total"": ""6780.1""}",0,0
1112-CUNAO,yes,female,1,0,0,15,1,1,fiber_optic,0,1,0,0,0,1,month-to-month,0,electronic check,"{""monthly"": 89.85, ""total"": ""1424.95""}",0,0
1113-IUJYX,yes,female,0,1,0,14,1,0,fiber_optic,1,1,0,1,1,1,one year,0,mailed check,"{""monthly"": 105.95, ""total"": ""1348.9""}",0,0
1114-CENIM,yes,male,0,0,1,54,1,1,dsl,0,1,0,0,0,0,month-to-month,1,credit card (automatic),"{""monthly"": 55.0, ""total"": ""3092.65""}",0,0
1116-DXXDF,no,male,0,0,0,39,1,0,fiber_optic,1,0,1,0,1,1,two year,1,electronic check,"{""monthly"": 100.45, ""total"": ""3801.7""}",0,0
1116-FRYVH,no,female,0,1,1,48,0,0,dsl,1,1,0,1,0,0,two year,0,mailed check,"{""monthly"": 39.4, ""total"": ""1978.65""}",1,0
1119-VJAQV,nan,male,1,1,0,6,1,1,fiber_optic,0,0,1,0,0,0,month-to-month,1,electronic check,"{""monthly"": 80.8, ""total"": ""457.1""}",0,0
1120-BMWUB,yes,female,0,0,0,16,1,0,dsl,0,1,0,1,0,0,month-to-month,1,mailed check,"{""monthly"": 53.9, ""total"": ""834.15""}",0,0
1121-QSIVB,no,female,0,0,1,44,1,1,dsl,0,1,0,0,1,1,one year,1,mailed check,"{""monthly"": 77.55, ""total"": ""3471.1""}",0,0
1122-JWTJW,yes,male,0,1,1,1,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,mailed check,"{""monthly"": 70.65, ""total"": ""70.65""}",0,0
1122-YJBCS,no,male,0,1,0,69,1,0,dsl,1,1,0,0,0,0,one year,1,credit card (automatic),"{""monthly"": 53.65, ""total"": ""3804.4""}",0,0
1125-SNVCK,no,female,1,0,0,49,1,0,dsl,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 43.8, ""total"": ""2106.05""}",0,0
1131-ALZWV,no,female,0,0,0,24,1,1,no,0,0,0,0,0,0,one year,0,bank transfer (automatic),"{""monthly"": 24.6, ""total"": ""605.25""}",0,1
1131-QQZEB,no,male,1,1,0,71,1,1,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),"{""monthly"": 23.95, ""total"": ""1756.2""}",0,1
1131-SUEKT,no,male,0,1,1,61,1,0,fiber_optic,0,1,0,1,1,1,one year,1,bank transfer (automatic),"{""monthly"": 98.45, ""total"": ""6145.2""}",0,0
1133-KXCGE,no,female,0,0,0,18,1,0,no,0,0,0,0,0,0,one year,0,mailed check,"{""monthly"": 20.1, ""total"": ""407.05""}",0,1
1134-YWTYF,no,male,0,1,0,27,1,0,dsl,0,1,0,1,0,0,month-to-month,1,electronic check,"{""monthly"": 53.8, ""total"": ""1389.85""}",0,0
1135-HIORI,no,female,0,1,1,64,1,1,fiber_optic,0,1,1,1,1,1,one year,1,electronic check,"{""monthly"": 111.45, ""total"": ""7266.95""}",0,0
1135-LMECX,no,female,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 19.85, ""total"": ""19.85""}",0,1
1136-XGEQU,no,female,0,1,1,50,1,1,dsl,0,1,1,1,1,1,one year,1,credit card (automatic),"{""monthly"": 84.15, ""total"": ""4164.4""}",0,0
1137-DGOWI,no,female,0,1,0,30,1,0,dsl,0,1,1,1,0,1,one year,0,bank transfer (automatic),"{""monthly"": 70.25, ""total"": ""2198.9""}",0,0
1139-WUOAH,no,male,0,0,0,57,0,0,dsl,0,0,1,1,1,1,two year,0,credit card (automatic),"{""monthly"": 53.35, ""total"": ""3090.05""}",1,0
1140-UKVZG,no,female,0,0,0,17,1,1,no,0,0,0,0,0,0,month-to-month,0,mailed check,"{""monthly"": 24.8, ""total"": ""475.25""}",0,1
1142-IHLOO,no,female,0,0,0,51,1,0,fiber_optic,0,0,0,0,1,1,one year,0,credit card (automatic),"{""monthly"": 87.55, ""total"": ""4475.9""}",0,0
1142-WACZW,yes,male,0,0,0,2,0,0,dsl,0,0,0,1,0,0,month-to-month,0,bank transfer (automatic),"{""monthly"": 29.85, ""total"": ""75.6""}",1,0
1143-NMNQJ,yes,female,0,0,0,2,1,1,fiber_optic,0,0,0,0,0,1,month-to-month,1,electronic check,"{""monthly"": 85.7, ""total"": ""169.8""}",0,0
1150-FTQGN,no,female,0,1,1,60,1,1,fiber_optic,1,1,0,0,1,0,one year,0,bank transfer (automatic),"{""monthly"": 94.15, ""total"": ""5811.8""}",0,0
1150-WFARN,yes,female,0,1,1,67,1,1,fiber_optic,1,0,1,1,1,1,two year,1,credit card (automatic),"{""monthly"": 108.75, ""total"": ""7156.2""}",0,0
1153-GNOLC,no,male,0,0,0,33,0,0,dsl,0,1,0,0,1,0,one year,1,electronic check,"{""monthly"": 39.1, ""total"": ""1309""}",1,0
1154-HYWWO,no,male,0,0,0,38,1,0,dsl,1,1,0,1,1,0,one year,0,mailed check,"{""monthly"": 70.6, ""total"": ""2708.2""}",0,0
1156-ZFYDO,no,female,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,electronic check,"{""monthly"": 19.75, ""total"": ""19.75""}",0,1
1157-BQCUW,yes,male,0,0,0,1,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 74.95, ""total"": ""74.95""}",0,0
1159-WFSGR,no,female,0,1,1,16,1,0,no,0,0,0,0,0,0,month-to-month,0,electronic check,"{""monthly"": 20.4, ""total"": ""321.4""}",0,1
1162-ECVII,no,male,1,1,0,72,1,1,fiber_optic,0,1,1,1,1,1,two year,1,bank transfer (automatic),"{""monthly"": 109.75, ""total"": ""7932.5""}",0,0
1163-ONYEY,no,male,0,1,1,41,1,1,dsl,1,1,1,0,1,0,month-to-month,1,credit card (automatic),"{""monthly"": 74.55, ""total"": ""3023.55""}",0,0
1163-VIPRI,no,female,0,1,1,65,1,1,fiber_optic,1,0,1,1,1,1,two year,0,electronic check,"{""monthly"": 109.3, ""total"": ""7337.55""}",0,0
1166-PQLGG,no,female,0,1,1,72,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),"{""monthly"": 19.55, ""total"": ""1463.45""}",0,1
1167-OYZJF,no,female,1,1,0,67,1,0,no,0,0,0,0,0,0,two year,1,bank transfer (automatic),"{""monthly"": 20.05, ""total"": ""1263.05""}",0,1
1169-SAOCL,no,male,0,0,0,49,1,1,fiber_optic,0,1,0,1,1,1,one year,1,bank transfer (automatic),"{""monthly"": 106.65, ""total"": ""5168.1""}",0,0
1169-WCVAK,no,male,0,1,0,19,1,1,fiber_optic,1,1,0,1,0,0,month-to-month,1,credit card (automatic),"{""monthly"": 88.8, ""total"": ""1672.35""}",0,0
1170-SASML,no,female,0,1,0,69,1,1,fiber_optic,0,1,1,0,0,0,month-to-month,1,bank transfer (automatic),"{""monthly"": 85.4, ""total"": ""5869.4""}",0,0
1171-TYKUR,no,male,0,1,0,47,1,1,no,0,0,0,0,0,0,month-to-month,0,electronic check,"{""monthly"": 25.4, ""total"": ""1139.2""}",0,1
1172-VIYBP,no,male,0,1,1,53,1,1,dsl,1,1,0,0,0,1,two year,0,bank transfer (automatic),"{""monthly"": 69.7, ""total"": ""3686.05""}",0,0
1173-NOEYG,no,female,0,1,0,27,1,1,fiber_optic,0,0,1,0,0,1,month-to-month,0,bank transfer (automatic),"{""monthly"": 90.15, ""total"": ""2423.4""}",0,0
1173-XZPYF,no,female,0,0,0,11,1,1,fiber_optic,0,0,1,0,1,0,month-to-month,1,electronic check,"{""monthly"": 89.2, ""total"": ""990.3""}",0,0
1174-FGIFN,no,female,0,1,1,28,1,1,fiber_optic,0,0,0,1,0,1,one year,1,electronic check,"{""monthly"": 90.45, ""total"": ""2509.25""}",0,0
1177-XZBJL,no,male,0,1,1,53,1,1,dsl,1,1,0,1,0,0,one year,0,bank transfer (automatic),"{""monthly"": 64.15, ""total"": ""3491.55""}",0,0
1178-PZGAB,no,female,0,0,0,19,1,0,no,0,0,0,0,0,0,one year,0,credit card (automatic),"{""monthly"": 20.25, ""total"": ""383.65""}",0,1
1179-INLAT,no,male,0,0,0,3,1,0,no,0,0,0,0,0,0,one year,1,mailed check,"{""monthly"": 19.45, ""total"": ""69.25""}",0,1
1183-CANVH,no,female,0,1,0,23,1,0,dsl,0,0,0,1,1,0,one year,0,bank transfer (automatic),"{""monthly"": 60.0, ""total"": ""1347.15""}",0,0
1184-PJVDB,yes,male,0,1,0,10,1,0,fiber_optic,0,0,0,0,1,0,month-to-month,1,electronic check,"{""monthly"": 79.95, ""total"": ""857.2""}",0,0
1187-WILMM,no,male,0,1,1,63,1,1,dsl,1,1,1,1,1,1,two year,1,credit card (automatic),"{""monthly"": 89.4, ""total"": ""5597.65""}",0,0
1193-RTSLK,yes,female,0,0,0,38,1,0,fiber_optic,1,1,1,0,0,0,month-to-month,1,credit card (automatic),"{""monthly"": 83.9, ""total"": ""3233.6""}",0,0
